submission_pk,User,F1Score
532116,mfzszgs,0.7769 (1),
532265,leo1020,0.7733 (2),
532010,baaesh,0.7593 (3),
532125,gentaiscool,0.7566 (4),
532264,liangxh16,0.7519 (5),
532171,symss,0.7508 (6),
532118,megaman,0.7500 (7),
531062,jogonba2,0.7456 (8),
531652,GOGOGO,0.7453 (9),
531158,mchobby,0.7430 (10),
532103,hchenyang,0.7428 (11),
531927,Lucas_zzz,0.7427 (12),
531591,maluyao,0.7396 (13),
531844,praveenjoshi007,0.7392 (14),
530336,anasteam,0.7392 (14),
531052,jxf8,0.7379 (15),
531484,EinAeffchen,0.7373 (16),
532143,ntuer,0.7364 (17),
531068,zhaopku,0.7361 (18),
531928,dawei.li,0.7356 (19),
531470,mhjabreel,0.7342 (20),
532162,YanXU,0.7330 (21),
530331,Abdel,0.7323 (22),
530441,yezhejack,0.7323 (23),
529269,cococold,0.7317 (24),
532001,zlinao,0.7311 (25),
532191,longz418,0.7309 (26),
532254,huxiao,0.7306 (27),
532271,gesy,0.7298 (28),
531814,mperelkiewicz,0.7273 (29),
531509,joeyli,0.7272 (30),
532259,rafalposwiata,0.7263 (31),
531193,tobin.south,0.7249 (32),
531085,hecongqing,0.7227 (33),
531971,changxu,0.7220 (34),
530482,andrewuoa,0.7216 (35),
532233,alonzorz,0.7185 (36),
532283,LEEYOONHYUNG,0.7166 (37),
532195,ksira,0.7126 (38),
528862,titrok,0.7120 (39),
528836,sifek,0.7120 (39),
528825,casshern,0.7113 (40),
528856,Garfounkel,0.7110 (41),
529917,sismetanin,0.7096 (42),
530797,kram,0.7089 (43),
530179,Rol,0.7089 (44),
530352,emohamma,0.7072 (45),
531157,ZhangYi,0.7071 (46),
530135,roseway,0.7069 (47),
529998,bogdan27182,0.7061 (48),
532146,zz,0.7055 (49),
531739,gmn0105,0.7046 (50),
530328,Hjr,0.7034 (51),
530982,DjB,0.7016 (52),
531792,cromulen,0.7000 (53),
529756,jshin49,0.6999 (54),
531334,gangeshwark,0.6999 (55),
532041,WaleedRagheb,0.6996 (56),
528790,wudeng,0.6984 (57),
531510,scooby_data_doo,0.6972 (58),
531091,Annie,0.6944 (59),
529151,random_1,0.6942 (60),
532182,parag11,0.6931 (61),
531112,ANAVGG,0.6925 (62),
530926,drykso,0.6891 (63),
530801,huichuan,0.6889 (64),
531941,Ansley,0.6873 (65),
530062,musicacdc,0.6796 (66),
532013,weijia,0.6772 (67),
529943,yangst,0.6771 (68),
531009,sankarshan7,0.6730 (69),
531081,vgratian,0.6717 (70),
528859,lawliet,0.6709 (71),
530773,fmplaza,0.6698 (72),
530160,Hippolyte,0.6698 (73),
531803,Malak,0.6685 (74),
530108,msaic_sour_7284,0.6677 (75),
531643,mojito,0.6667 (76),
530911,Pikapi,0.6650 (77),
530701,HundertWorte,0.6633 (78),
531983,CJ,0.6628 (79),
529018,hbenbel,0.6600 (80),
530276,max93330,0.6505 (81),
532268,pdaniel93,0.6460 (82),
530950,Gendai,0.6445 (83),
529518,axelaco,0.6375 (84),
528896,jaisim,0.6353 (85),
532081,Seohui,0.6346 (86),
530908,r1j1t,0.6294 (87),
531705,alaa.maarouf,0.6165 (88),
529222,thenmozhid,0.6123 (89),
532027,cho,0.6121 (90),
530680,bakszero,0.6117 (91),
531833,jcui,0.6111 (92),
531712,msaic_hars_4794,0.6046 (93),
531106,Gebb,0.5977 (94),
531808,zdravkoandonov,0.5969 (95),
530981,CodeMaster,0.5920 (96),
532073,seohuipark,0.5916 (97),
528727,emocontext_organizers,0.5868 (98),
531866,TryingCodeInf,0.5838 (99),
531492,sarthak,0.5671 (100),
529817,Alswaidan,0.5657 (101),
528984,Helloworld,0.5634 (102),
532248,ChandrakantBothe,0.5440 (103),
532088,vhrehfdl,0.5196 (104),
532084,LeeJungHoon,0.5149 (105),
530782,Prasathth,0.5000 (106),
530222,dhruvdh,0.4692 (107),
531076,CarlaAbreu,0.4457 (108),
531817,razormest,0.4436 (109),
530211,joecummings,0.4060 (110),
530791,LisEmotion,0.2607 (111),
529804,halilozanakgul,0.2592 (112),
529280,PART,0.2471 (113),
529295,chandabnd727,0.2316 (114),
528869,GodRevL,0.0848 (115),
532163,tobestrong,0.0795 (116),
532215,ansuri,0.0277 (117),
528619,waylensu,0.0143 (118),
