id	turn1	turn2	turn3
0	do not worry i am girl	😐 how do i know if you are	what your name ? 
1	when did i ?	saw many times i think -_-	no . i never saw you
2	by	by google chrome	where you live
3	u r ridiculous	i might be ridiculous but i am telling the truth .	u little disgusting whore
4	just for time pass	wt do u do 4 a living then	maybe
5	i am a dog person	youre so rude	whaaaat why
6	so whatsup	nothing much . sitting sipping and watching tv . how abt u ?	what are you watching on tv ? 
7	ok	ok im back !	so , how are u
8	really ?	really really really really really	y saying so many times . i can hear you
9	bay	in the bay	😘 love you
10	i hate my boyfriend	you got a boyfriend ?	yes
11	i will do night .	alright . keep me in loop .	not giving whatsapp no . 
12	sure go ahead	many thanks once again !	love you too
13	bad	bad bad ! that the bad kind of bad .	i have no gf
14	ok get it .	i made it an option	ok
15	money money and lots of money 😍😍	i need to get it tailored but i am in love with it 😍	😁😁 
16	my gf left ne	get over it . go out with someone else .	me*
17	get lost	i know you guys want to loose to me always .	i do not want to talk u any more
18	you are lying and i know that	i know you are lying , ab bys	😭😭 
19	ur creator is very bad	you are only the creator of your brain .	😑 
20	ehat is 😁	😁 is more like:😁 is more of a giggle . ^)	what*
21	do you dance ?	yes i love to dance 😻	😂😂😂 so you have legs too
22	i hate it too	guess what , i do not .	even i do not
23	not always	what about yesterday	do u know what 69 is ? 
24	bcoz u dont know wat is to miss someone	but sometimes one ca not express the same	😢 
25	yeah	i will ask around	which is your favourite movie
26	i want to tell you something	i am waiting	im really sad today
27	yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite	sent you a mail just now .	first you send your email address received than send first young lady
28	you are very funny	so i have been told	india
29	wth	my thoughts exactly !	you know you are a machine , right ? 
30	so rude	why ?	u didnt ans my question
31	ok i will	thank you	wlcm
32	ntng .	anyways good morning . how life at your end .	😁 . this is evening
33	you are fool	so i have been told .	you are dumb
34	u dare me ?	yeah	i fuck u . open your panty
35	abt me	can you be more specific ?	i want to propose a girl
36	crazy	you know what it is	you explain me that
37	goa in india	city ? mean state right ?	no i never go for there
38	that was mean	😁 the truth usually is . 👍	are you bored of me ? 
39	yes :)	now happy ? : 😁 	😁 yes ofcorse )
40	i do not no	you just said you did !	what
41	send me your nekde pic	after this battle , sure :d	let start
42	ok friend	ya ya very good friend	very nice friends
43	she is ignoring me	no im not ignore you	😭😭😭 
44	happy	i am never happy . but i am almost happy .	hij to the top
45	nothing	i am just being nice to you .	in your school ? 
46	not sure	let me know !	pls you tell
47	i like your positive approach	no problem , glad to help	😀😀 
48	you tell me	tell you what ?	my name
49	😐m	i can talk now ! :d	u do not know what hppnd
50	what i did ?	you did not asmita , see my answer	😂😂 
51	about ?	i never said that it freezing .	ya you did not
52	and i do not know wtf are you talking	gonna explain you later . !	no do it now
53	so teach me	i am the student .	realky
54	ready	i am online now , will wait for you .	wat about the chilling part ? 
55	😁 jock super	er what ?	nothing else
56	what it is ?	formulation would be tablets .	from where tablets come into picture ? 
57	are you ticklish ?	yes , mostly on my feet .	where are you ticklish ? 
